dep,lib_commune,num_panneau,nom_liste,ordre,commune_norm,cod_insee,lib_ref,score_fuzzy,pop_2023,methode,tete_liste
62,Lumbres,3,Ensemble pour Lumbres,1,lumbres,62534,Lumbres,100,3579,exact,Jean-Philippe QUAGEBEUR
62,Maroeuil,1,"POUR MAROEUIL, SIMPLEMENT",1,maroeuil,62557,Marœuil,100,2422,exact,Aldo BALESTRA
62,Maroeuil,3,Une nouvelle histoire à écrire ensemble,1,maroeuil,62557,Marœuil,100,2422,exact,Sébastien DELATTRE
62,Monchy-Breton,1,TOUS UNIS POUR LE RENOUVEAU DE NOTRE VILLAGE,1,monchy breton,62580,Monchy-Breton,100,512,exact,Vanessa CAPENDU
62,Monchy-Breton,3,ENSEMBLE POUR MONCHY-BRETON,1,monchy breton,62580,Monchy-Breton,100,512,exact,Linda CAUCHY
62,Montigny-en-Gohelle,1,EN AVANT POUR MONTIGNY,1,montigny en gohelle,62587,Montigny-en-Gohelle,100,9743,exact,Odile CASIER
62,Montigny-en-Gohelle,3,"MONTIGNY, UNE VILLE POUR TOUS",1,montigny en gohelle,62587,Montigny-en-Gohelle,100,9743,exact,Marcello DELLA FRANCA
62,Oignies,1,OIGNIES POUR VOUS,1,oignies,62637,Oignies,100,10323,exact,François VIAL
62,Oignies,3,UNIS POUR OIGNIES,1,oignies,62637,Oignies,100,10323,exact,Fabienne DUPUIS-MERLEVEDE
62,Pernes,1,Une nouvelle dynamique pour PERNES,1,pernes,62652,Pernes,100,1574,exact,Jérôme JOSSIEN
62,Pernes,2,"AVEC VOUS POUR PERNES, de nos racines à l'avenir",1,pernes,62652,Pernes,100,1574,exact,Hélène MERLIN
62,Pernes,3,UNIR NOS FORCES POUR PERNES,1,pernes,62652,Pernes,100,1574,exact,Jérôme LOBEL
62,Pont-à-Vendin,1,Fiers d'hier unis pour demain,1,pont a vendin,62666,Pont-à-Vendin,100,3062,exact,Sandra BABLIN
62,Pont-à-Vendin,3,RASSEMBLEMENT POUR PONT-A-VENDIN,1,pont a vendin,62666,Pont-à-Vendin,100,3062,exact,Noé CARETTE
62,Pont-à-Vendin,4,"Avec vous, construisons l'avenir de notre ville Pont-à-Vendin",1,pont a vendin,62666,Pont-à-Vendin,100,3062,exact,Nicolas FRANCKE
62,Rety,1,RETY CITOYENS,1,rety,62705,Rety,100,2032,exact,Pascal LEBECQ
62,Rety,2,AMBITIONS POUR RETY,1,rety,62705,Rety,100,2032,exact,Dominique GALLET
62,Rety,3,UNIS POUR RETY,1,rety,62705,Rety,100,2032,exact,Patrick BERNARD
62,Rivière,1,TOUJOURS EN ACTION POUR PRÉSERVER RIVIERE,1,riviere,62712,Rivière,100,1123,exact,Gabriel BERTEIN
62,Rivière,2,EN AVANT,1,riviere,62712,Rivière,100,1123,exact,Julien QUIGNON
62,Saint-Pol-sur-Ternoise,1,RASSEMBLEMENT POUR LA CAPITALE DU TERNOIS,1,saint pol sur ternoise,62767,Saint-Pol-sur-Ternoise,100,4677,exact,Olivier LOISEL
62,Saint-Pol-sur-Ternoise,2,AGIR ENSEMBLE POUR SAINT-POL !,1,saint pol sur ternoise,62767,Saint-Pol-sur-Ternoise,100,4677,exact,Danielle VASSEUR
62,Saint-Pol-sur-Ternoise,3,"AVEC LES SAINT-POLOIS, AUTREMENT",1,saint pol sur ternoise,62767,Saint-Pol-sur-Ternoise,100,4677,exact,Claude ROUSSEZ
62,Thiembronne,1,THIEMBRONNE AUTREMENT,1,thiembronne,62812,Thiembronne,100,815,exact,Olivier POURCHEZ
62,Thiembronne,2,ENGAGÉS POUR THIEMBRONNE,1,thiembronne,62812,Thiembronne,100,815,exact,Didier DEWAMIN
62,Vendin-lès-Béthune,1,ENSEMBLE POUR VENDIN - CONSTRUISONS L'AVENIR,1,vendin les bethune,62841,Vendin-lès-Béthune,100,2374,exact,Sylvie MEYFROIDT
62,Vendin-lès-Béthune,2,V2026 Une équipe proche pour une commune vivante,1,vendin les bethune,62841,Vendin-lès-Béthune,100,2374,exact,Patrick MORIEN
62,Vendin-lès-Béthune,3,"Entre hier et demain, un avenir en commun",1,vendin les bethune,62841,Vendin-lès-Béthune,100,2374,exact,Léo BRUNON
62,Verton,1,Un Nouvel Elan pour Verton,1,verton,62849,Verton,100,2571,exact,Guislaine LEBAS
62,Verton,2,23 pour les Vertonnois,1,verton,62849,Verton,100,2571,exact,Joël LEMAIRE
62,Verton,3,Objectif Verton,1,verton,62849,Verton,100,2571,exact,Olivier VALEMBOIS
62,Verton,4,"Verton en mouvement, ensemble !",1,verton,62849,Verton,100,2571,exact,Eric LETENDART
62,Vitry-en-Artois,2,Ensemble ! pour l'avenir de Vitry,1,vitry en artois,62865,Vitry-en-Artois,100,4849,exact,Maryse LOUIS
62,Vitry-en-Artois,3,NOS RACINES UN HORIZON,1,vitry en artois,62865,Vitry-en-Artois,100,4849,exact,Éric GIRAUD
62,Wizernes,1,AGIR EN COMMUN POUR WIZERNES,1,wizernes,62902,Wizernes,100,3321,exact,Dominique LANOY
62,Wizernes,2,Un nouveau souffle pour Wizernes,1,wizernes,62902,Wizernes,100,3321,exact,Laurent BRUNET
